file,line,function,table,classification,reason
backend/app/engines/discovery/azure_discovery.py,6110,_load_ice_config,settings,LEAK,Engine/service uses admin Database() without org filter
backend/app/api/handlers.py,581,_latest_run_ids,discovery_runs,REVIEW,"Superadmin fallback — no org_id filter, but guarded by is_superadmin check at line 578"
backend/app/api/handlers.py,581,_latest_run_ids,cloud_connections,REVIEW,"Superadmin fallback — no org_id filter, but guarded by is_superadmin check at line 578"
backend/app/api/handlers.py,678,get_stats,discovery_runs,REVIEW,"Superadmin path — SELECT COUNT(*) FROM discovery_runs without org_id filter (line 678)"
backend/app/api/handlers.py,15127,get_cross_org_analytics,discovery_runs,REVIEW,Admin analytics endpoint — intentionally cross-tenant (Database(_admin_reason=...))
backend/app/api/handlers.py,15259,get_cross_org_trends,discovery_runs,REVIEW,Admin analytics endpoint — intentionally cross-tenant
backend/app/api/handlers.py,26087,g27,settings,REVIEW,Superadmin-only path with admin DB connection
backend/app/api/integrity.py,113,_check_latest_snapshot,discovery_runs,REVIEW,Integrity check — admin DB for cross-org validation
backend/app/api/integrity.py,187,_check_discovery_stages,discovery_runs,REVIEW,Integrity check — admin DB for cross-org validation
backend/app/api/integrity.py,233,_check_snapshot_integrity,discovery_runs,REVIEW,Integrity check — admin DB for cross-org validation
backend/app/api/integrity.py,234,_check_snapshot_integrity,discovery_runs,REVIEW,Integrity check — admin DB for cross-org validation
backend/app/api/integrity.py,273,_check_agirs_consistency,risk_summary,REVIEW,Integrity check — admin DB for cross-org validation
backend/app/api/integrity.py,274,_check_agirs_consistency,risk_summary,REVIEW,Integrity check — admin DB for cross-org validation
backend/app/scheduler.py,2152,_run_drift_intelligence,drift_reports,SAFE,"Scheduler _run_tier creates Database(organization_id=db_org_id) per thread — RLS enforced"
backend/scripts/backfill_all_orgs.py,82,find_affected_orgs,discovery_runs,REVIEW,Script — manual admin context
backend/scripts/backfill_first_scan_orgs.py,50,find_affected_orgs,discovery_runs,REVIEW,Script — manual admin context
backend/scripts/benchmark_agent_blast_radius.py,207,<module>,role_assignments,REVIEW,Script — manual admin context
backend/scripts/benchmark_agent_blast_radius.py,229,<module>,azure_storage_accounts,REVIEW,Script — manual admin context
backend/scripts/migrate_to_cloud_dev.py,425,main,cloud_connections,REVIEW,Script — manual admin context
backend/scripts/migrate_to_cloud_dev.py,433,main,discovery_runs,REVIEW,Script — manual admin context
backend/scripts/seed_ai_agent_test_tenant.py,248,_seed_identities,role_assignments,REVIEW,Script — manual admin context
backend/scripts/seed_ai_agent_test_tenant.py,310,_cleanup_previous,discovery_runs,REVIEW,Script — manual admin context
backend/scripts/seed_demo_org.py,754,seed_credentials,credentials,REVIEW,Script — manual admin context
backend/scripts/seed_demo_org.py,1191,seed_drift_reports,drift_reports,REVIEW,Script — manual admin context
backend/scripts/seed_demo_org.py,1241,seed_drift_reports,drift_reports,REVIEW,Script — manual admin context
backend/scripts/seed_demo_org.py,1518,seed_graph_api_permissions,graph_api_permissions,REVIEW,Script — manual admin context
backend/scripts/seed_demo_tenant.py,448,seed_credentials,credentials,REVIEW,Script — manual admin context
backend/scripts/seed_demo_tenant.py,610,seed_storage_accounts,azure_storage_accounts,REVIEW,Script — manual admin context
backend/scripts/seed_demo_tenant.py,690,seed_key_vaults,azure_key_vaults,REVIEW,Script — manual admin context
backend/app/ai/investigation_tools.py,352,InvestigationToolExecutor._exec_timeline,anomalies,SAFE,Engine/service receives db param — RLS enforced by caller
backend/app/ai/investigation_tools.py,374,InvestigationToolExecutor._exec_timeline,risk_scores,SAFE,Engine/service receives db param — RLS enforced by caller
backend/app/ai/investigation_tools.py,396,InvestigationToolExecutor._exec_timeline,pim_activations,SAFE,Engine/service receives db param — RLS enforced by caller
backend/app/ai/investigation_tools.py,418,InvestigationToolExecutor._exec_timeline,soar_actions,SAFE,Engine/service receives db param — RLS enforced by caller
backend/app/ai/investigation_tools.py,440,InvestigationToolExecutor._exec_timeline,remediation_actions,SAFE,Engine/service receives db param — RLS enforced by caller
backend/app/ai/investigation_tools.py,485,InvestigationToolExecutor._exec_graph_diff,discovery_runs,SAFE,Explicit organization_id filter in SQL
backend/app/ai/investigation_tools.py,494,InvestigationToolExecutor._exec_graph_diff,discovery_runs,SAFE,Explicit organization_id filter in SQL
backend/app/api/auth.py,470,<module>,activity_log,SAFE,Explicit organization_id filter in SQL
backend/app/api/handlers.py,552,_extract_id,discovery_runs,SAFE,Explicit organization_id filter in SQL
backend/app/api/handlers.py,564,_extract_id,cloud_connections,SAFE,Explicit organization_id filter in SQL
backend/app/api/handlers.py,564,_extract_id,discovery_runs,SAFE,Explicit organization_id filter in SQL
backend/app/api/handlers.py,581,_extract_id,cloud_connections,SAFE,Handler uses _db() — RLS enforced at connection level
backend/app/api/handlers.py,581,_extract_id,discovery_runs,SAFE,Handler uses _db() — RLS enforced at connection level
backend/app/api/handlers.py,608,_extract_id,discovery_runs,SAFE,Explicit organization_id filter in SQL
backend/app/api/handlers.py,618,_extract_id,cloud_connections,SAFE,Explicit organization_id filter in SQL
